word,f(0),f(1),f(0) + f(1)
dr.m,0.999,0.001,1
kekalahan,0.999,0.001,1
bunch,0.001,0.999,1
pls,0.001,0.999,1
kerajaan,0.999,0.001,1
mempunyai,0.999,0.001,1
serah,0.001,0.999,1
sama,0.999,0.001,1
kontraktor,0.001,0.999,1
by,0.001,0.999,1
elec,0.999,0.001,1
skincare,0.001,0.999,1
bet,0.999,0.001,1
those,0.999,0.001,1
positive,0.001,0.999,1
gerakan,0.001,0.999,1
ku,0.999,0.001,1
na,0.999,0.001,1
pemerintahan,0.999,0.001,1
businessweeks,0.999,0.001,1
public,0.999,0.001,1
asiahussainn,0.001,0.999,1
siapa,0.999,0.001,1
deficit,0.999,0.001,1
brahim,0.001,0.999,1
ketereh,0.001,0.999,1
terbesar,0.999,0.001,1
bloomberg,0.999,0.001,1
undinegaraku,0.999,0.001,1
flying,0.999,0.001,1
d^4,0.999,0.001,1
interview,0.001,0.999,1
hati,0.001,0.999,1
mb,0.999,0.001,1
ckp,0.001,0.999,1
melayu,0.001,0.999,1
budak,0.999,0.001,1
nbila,0.999,0.001,1
maruah,0.999,0.001,1
buat,0.999,0.001,1
aishah,0.999,0.001,1
paid,0.999,0.001,1
story,0.999,0.001,1
low,0.999,0.001,1
giving,0.999,0.001,1
khalidkarim,0.999,0.001,1
candidate,0.999,0.001,1
betternation3,0.999,0.001,1
siang,0.999,0.001,1
sepanjang,0.001,0.999,1
quality,0.001,0.999,1
budgets,0.999,0.001,1
nrm20.0010.001,0.001,0.999,1
more,0.999,0.001,1
bulan,0.001,0.999,1
mohamad,0.999,0.001,1
tekad,0.001,0.999,1
sekarang,0.999,0.001,1
klfa,0.001,0.999,1
6,0.001,0.999,1
ge13,0.999,0.001,1
hahaha,0.999,0.001,1
mereka,0.001,0.999,1
jebat_derhakar,0.001,0.999,1
cina,0.001,0.999,1
akan,0.999,0.001,1
pdm,0.001,0.999,1
sekalian,0.999,0.001,1
clear,0.999,0.001,1
lol,0.999,0.001,1
sesat/kafir,0.999,0.001,1
narrative,0.999,0.001,1
arab,0.001,0.999,1
tahun.najib,0.001,0.999,1
review,0.999,0.001,1
anggota-anggota,0.001,0.999,1
nsejak,0.001,0.999,1
no,0.999,0.001,1
pegangan,0.001,0.999,1
waktu,0.999,0.001,1
grumpy,0.999,0.001,1
warabiyah,0.999,0.001,1
tetiba,0.999,0.001,1
lingkup,0.999,0.001,1
wrong,0.999,0.001,1
malaysia,0.999,0.001,1
shahrir,0.999,0.001,1
cheek,0.001,0.999,1
kutuk,0.001,0.999,1
sikap,0.999,0.001,1
naikkan,0.999,0.001,1
jangka,0.999,0.001,1
thousands,0.999,0.001,1
randommidageman,0.999,0.001,1
work,0.001,0.999,1
d,0.001,0.999,1
mandi,0.999,0.001,1
stadium,0.001,0.999,1
video,0.001,0.999,1
big,0.999,0.001,1
ec,0.999,0.001,1
letak,0.999,0.001,1
utk,0.999,0.001,1
like,0.999,0.001,1
did,0.999,0.001,1
betapa,0.999,0.001,1
habis,0.001,0.999,1
problem,0.001,0.999,1
votes,0.999,0.001,1
faham,0.999,0.001,1
teruknya,0.999,0.001,1
barrack,0.001,0.999,1
hmmm,0.999,0.001,1
najibrazak,0.001,0.999,1
man,0.999,0.001,1
fighting,0.001,0.999,1
ÿpm,0.001,0.999,1
ni,0.999,0.001,1
mulut,0.999,0.001,1
datuk,0.001,0.999,1
that,0.001,0.999,1
before,0.999,0.001,1
felda,0.999,0.001,1
simple,0.999,0.001,1
access,0.001,0.999,1
tu,0.999,0.001,1
show,0.001,0.999,1
sering,0.001,0.999,1
salah,0.999,0.001,1
xmau,0.001,0.999,1
gon,0.999,0.001,1
dak,0.999,0.001,1
datin,0.001,0.999,1
pas,0.999,0.001,1
mana,0.999,0.001,1
urges,0.001,0.999,1
says,0.001,0.999,1
good,0.001,0.999,1
sanggup,0.999,0.001,1
seriously,0.999,0.001,1
macam-macam,0.999,0.001,1
punya..puli,0.999,0.001,1
kotabelud,0.999,0.001,1
takikhlas-najib,0.001,0.999,1
ntinjau,0.001,0.999,1
blackout,0.999,0.001,1
yr,0.999,0.001,1
com,0.001,0.999,1
sbb,0.001,0.999,1
caretaker,0.999,0.001,1
suggest,0.001,0.999,1
were,0.001,0.999,1
his,0.999,0.001,1
backup,0.999,0.001,1
tol,0.001,0.999,1
not,0.999,0.001,1
ibrahimramli,0.999,0.001,1
off,0.999,0.001,1
yes,0.999,0.001,1
for,0.001,0.999,1
mirchigo,0.999,0.001,1
pastikan,0.001,0.999,1
kitamestimenang,0.999,0.001,1
what,0.001,0.999,1
hard,0.001,0.999,1
poket,0.999,0.001,1
n1,0.999,0.001,1
away,0.001,0.999,1
znazre3n,0.999,0.001,1
cermin,0.999,0.001,1
name,0.999,0.001,1
allowed,0.999,0.001,1
kedai,0.999,0.001,1
penipu,0.999,0.001,1
stepping,0.001,0.999,1
mahathirread,0.999,0.001,1
berturut-turut,0.001,0.999,1
ka,0.999,0.001,1
dia.ini,0.999,0.001,1
biar,0.999,0.001,1
debts,0.999,0.001,1
mahathir.kau,0.001,0.999,1
get,0.001,0.999,1
centre,0.999,0.001,1
up,0.999,0.001,1
same,0.001,0.999,1
malaysians,0.999,0.001,1
order,0.001,0.999,1
dalam,0.999,0.001,1
hanya,0.001,0.999,1
menj,0.001,0.999,1
bersyukur,0.999,0.001,1
tens,0.999,0.001,1
kit,0.999,0.001,1
m,0.999,0.001,1
rules,0.999,0.001,1
apa,0.999,0.001,1
have,0.001,0.999,1
peril,0.001,0.999,1
would,0.999,0.001,1
indoctrination,0.999,0.001,1
20.00110.001,0.999,0.001,1
terkepit,0.999,0.001,1
dato,0.999,0.001,1
aje,0.999,0.001,1
cos,0.999,0.001,1
hoi,0.999,0.001,1
bebar,0.001,0.999,1
watch,0.001,0.999,1
may,0.999,0.001,1
mat,0.001,0.999,1
baruahs,0.999,0.001,1
aishasbrdn,0.999,0.001,1
dipilih,0.001,0.999,1
sana,0.999,0.001,1
terbaik,0.001,0.999,1
pangkahlahdenganbijak,0.999,0.001,1
sebarkan,0.999,0.001,1
supporters,0.999,0.001,1
sakit,0.999,0.001,1
along,0.999,0.001,1
pru,0.999,0.001,1
leadership,0.999,0.001,1
pmo,0.999,0.001,1
samalah,0.999,0.001,1
manusia,0.999,0.001,1
hearts,0.999,0.001,1
thanking,0.001,0.999,1
report,0.999,0.001,1
seems,0.999,0.001,1
expectations,0.999,0.001,1
other,0.999,0.001,1
marina,0.999,0.001,1
walau,0.999,0.001,1
catch,0.999,0.001,1
statement,0.999,0.001,1
perkauman,0.999,0.001,1
isteri,0.001,0.999,1
billboard,0.999,0.001,1
chance,0.999,0.001,1
stick,0.001,0.999,1
rumah..jangan,0.999,0.001,1
sebelah,0.999,0.001,1
20.0010.0018,0.999,0.001,1
china,0.001,0.999,1
patut,0.001,0.999,1
sokanmalaya0.0017,0.999,0.001,1
pmomalaysia,0.999,0.001,1
bkn,0.999,0.001,1
any,0.999,0.001,1
swift,0.001,0.999,1
bastard,0.999,0.001,1
cowardly,0.999,0.001,1
kepong,0.999,0.001,1
toughest,0.999,0.001,1
sejarah,0.999,0.001,1
large,0.001,0.999,1
lose,0.999,0.001,1
plantation,0.999,0.001,1
siong,0.999,0.001,1
purchase,0.999,0.001,1
1rmfs,0.999,0.001,1
ashamed,0.999,0.001,1
mean,0.999,0.001,1
soy,0.999,0.001,1
past,0.999,0.001,1
hampir,0.999,0.001,1
ko,0.001,0.999,1
solat,0.001,0.999,1
drama,0.999,0.001,1
tantamount,0.999,0.001,1
as,0.001,0.999,1
keluar,0.999,0.001,1
pandikar,0.999,0.001,1
tahu,0.999,0.001,1
fans,0.001,0.999,1
you,0.999,0.001,1
jumaat,0.001,0.999,1
tang,0.999,0.001,1
xboleh,0.001,0.999,1
selama,0.001,0.999,1
batu,0.001,0.999,1
dapat,0.999,0.001,1
kali,0.999,0.001,1
nyatakan,0.999,0.001,1
fired,0.999,0.001,1
bertanding,0.999,0.001,1
an,0.001,0.999,1
renewed,0.999,0.001,1
jibby,0.999,0.001,1
ya,0.001,0.999,1
leaked,0.999,0.001,1
dekat,0.001,0.999,1
pulangkan,0.999,0.001,1
sentiasa,0.999,0.001,1
hebatkannegaraku,0.001,0.999,1
vonherig0.0013,0.999,0.001,1
mani,0.999,0.001,1
dun,0.001,0.999,1
tunajibu,0.001,0.999,1
its,0.999,0.001,1
kotor,0.999,0.001,1
menggunakan,0.001,0.999,1
break,0.999,0.001,1
slush,0.999,0.001,1
official,0.999,0.001,1
ramai1,0.999,0.001,1
pembangkang,0.001,0.999,1
still,0.999,0.001,1
least,0.999,0.001,1
match,0.001,0.999,1
itu,0.999,0.001,1
darjah,0.999,0.001,1
atau,0.999,0.001,1
fuck,0.999,0.001,1
